чт,28.09.23,"0,18%"
пт,29.09.23,"0,24%"
сб,30.09.23,
вс,01.10.23,
пн,02.10.23,"0,15%"
вт,03.10.23,"0,12%"
ср,04.10.23,"0,17%"
чт,05.10.23,"0,20%"
пт,06.10.23,"0,18%"
сб,07.10.23,"0,00%"
вс,08.10.23,"0,00%"
пн,09.10.23,"0,16%"
вт,10.10.23,"0,18%"
ср,11.10.23,"0,20%"
чт,12.10.23,"0,22%"
пт,13.10.23,"0,15%"
сб,14.10.23,"0,00%"
вс,15.10.23,"0,00%"
пн,16.10.23,"0,20%"
вт,17.10.23,"0,18%"
ср,18.10.23,"0,16%"
чт,19.10.23,"0,18%"
пт,20.10.23,"0,15%"
сб,21.10.23,"0,00%"
вс,22.10.23,"0,00%"
пн,23.10.23,"0,12%"
вт,24.10.23,"0,13%"
ср,25.10.23,"0,15%"
чт,26.10.23,"0,18%"
пт,27.10.23,"0,18%"
сб,28.10.23,"0,00%"
вс,29.10.23,"0,00%"
пн,30.10.23,"0,14%"
вт,31.10.23,"0,10%"
ср,01.11.23,"0,12%"
чт,02.11.23,"0,12%"
пт,03.11.23,"0,10%"
сб,04.11.23,"0,00%"
вс,05.11.23,"0,00%"
пн,06.11.23,"0,10%"
вт,07.11.23,"0,15%"
ср,08.11.23,"0,10%"
чт,09.11.23,"0,16%"
пт,10.11.23,"0,14%"
сб,11.11.23,"0,00%"
вс,12.11.23,"0,00%"
пн,13.11.23,"0,14%"
вт,14.11.23,"0,10%"
ср,15.11.23,"0,11%"
чт,16.11.23,"0,10%"
пт,17.11.23,"0,10%"
сб,18.11.23,"0,00%"
вс,19.11.23,"0,00%"
пн,20.11.23,"0,09%"
вт,21.11.23,"0,15%"
ср,22.11.23,"0,10%"
чт,23.11.23,"0,14%"
пт,24.11.23,"0,09%"
сб,25.11.23,"0,00%"
вс,26.11.23,"0,00%"
пн,27.11.23,"0,10%"
вт,28.11.23,"0,09%"
ср,29.11.23,"0,10%"
чт,30.11.23,"0,10%"
пт,01.12.23,"0,11%"
сб,02.12.23,"0,00%"
вс,03.12.23,"0,00%"
пн,04.12.23,"0,10%"
вт,05.12.23,"0,10%"
ср,06.12.23,"0,08%"
чт,07.12.23,"0,07%"
пт,08.12.23,"0,09%"
сб,09.12.23,"0,00%"
вс,10.12.23,"0,00%"
пн,11.12.23,"0,04%"
вт,12.12.23,"0,02%"
ср,13.12.23,"0,00%"
чт,14.12.23,"0,00%"
пт,15.12.23,"0,00%"
сб,16.12.23,
вс,17.12.23,
пн,18.12.23,"0,00%"
вт,19.12.23,"0,00%"
ср,20.12.23,"0,00%"
чт,21.12.23,"0,00%"
пт,22.12.23,"0,00%"
сб,23.12.23,
вс,24.12.23,
пн,25.12.23,"0,00%"
вт,26.12.23,"0,00%"
ср,27.12.23,"0,00%"
чт,28.12.23,"0,00%"
пт,29.12.23,"0,00%"
сб,30.12.23,
вс,31.12.23,
пн,01.01.24,"0,00%"
вт,02.01.24,"0,00%"
ср,03.01.24,"0,00%"
чт,04.01.24,"0,00%"
пт,05.01.24,"0,00%"
сб,06.01.24,
вс,07.01.24,
пн,08.01.24,"0,09%"
вт,09.01.24,"0,13%"
ср,10.01.24,"0,14%"
чт,11.01.24,"0,16%"
пт,12.01.24,"0,12%"
сб,13.01.24,
вс,14.01.24,
пн,15.01.24,"0,15%"
вт,16.01.24,"0,10%"
ср,17.01.24,"0,12%"
чт,18.01.24,"0,11%"
пт,19.01.24,"0,05%"
сб,20.01.24,
вс,21.01.24,
пн,22.01.24,"0,12%"
вт,23.01.24,"0,12%"
ср,24.01.24,"0,11%"
чт,25.01.24,"0,09%"
пт,26.01.24,"0,07%"
сб,27.01.24,
вс,28.01.24,
пн,29.01.24,"0,09%"
вт,30.01.24,"0,12%"
ср,31.01.24,"0,13%"
чт,01.02.24,"0,15%"
пт,02.02.24,"0,13%"
сб,03.02.24,
вс,04.02.24,
пн,05.02.24,"0,11%"
вт,06.02.24,"0,10%"
ср,07.02.24,"0,13%"
чт,08.02.24,"0,06%"
пт,09.02.24,"0,09%"
сб,10.02.24,
вс,11.02.24,
пн,12.02.24,"0,08%"
вт,13.02.24,"0,12%"
ср,14.02.24,"0,10%"
чт,15.02.24,"0,10%"
пт,16.02.24,"0,11%"
сб,17.02.24,
вс,18.02.24,
пн,19.02.24,"0,11%"
вт,20.02.24,"0,11%"
ср,21.02.24,"0,06%"
чт,22.02.24,"0,10%"
пт,23.02.24,"0,14%"
сб,24.02.24,
вс,25.02.24,
пн,26.02.24,"0,09%"
вт,27.02.24,"0,07%"
ср,28.02.24,"0,06%"
чт,29.02.24,"0,10%"
пт,01.03.24,"0,12%"
сб,02.03.24,
вс,03.03.24,
пн,04.03.24,"0,11%"
вт,05.03.24,"0,09%"
ср,06.03.24,"0,10%"
чт,07.03.24,"0,08%"
пт,08.03.24,"0,10%"
сб,09.03.24,
вс,10.03.24,
пн,11.03.24,"0,10%"
вт,12.03.24,"0,15%"
ср,13.03.24,"0,11%"
чт,14.03.24,"0,09%"
пт,15.03.24,"0,08%"
сб,16.03.24,
вс,17.03.24,
пн,18.03.24,"0,06%"
вт,19.03.24,"0,10%"
ср,20.03.24,"0,06%"
чт,21.03.24,"0,09%"
пт,22.03.24,"0,07%"
сб,23.03.24,
вс,24.03.24,
пн,25.03.24,"0,09%"
вт,26.03.24,"0,10%"
ср,27.03.24,"0,07%"
чт,28.03.24,"0,08%"
пт,29.03.24,"0,06%"
сб,30.03.24,
вс,31.03.24,
пн,01.04.24,"0,08%"
вт,02.04.24,"0,10%"
ср,03.04.24,"0,05%"
чт,04.04.24,"0,06%"
пт,05.04.24,"0,08%"
сб,06.04.24,
вс,07.04.24,
пн,08.04.24,"0,09%"
вт,09.04.24,"0,07%"
ср,10.04.24,"0,10%"
чт,11.04.24,"0,11%"
пт,12.04.24,"0,05%"
сб,13.04.24,
вс,14.04.24,
пн,15.04.24,"0,07%"
вт,16.04.24,"0,14%"
ср,17.04.24,"0,06%"
чт,18.04.24,"0,06%"
пт,19.04.24,"0,05%"
